Carimbo de data/hora	LINK DA CASA	VALOR DA CASA	Bairro	Valor do Imóvel 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	Tamanho do Terreno	TEM EDÍCULA?	ZONA	eeeee	São José do Rio Preto
6/29/2023 10:18:24	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/17712	650000	Alto Rio Preto	Mais que 400 mil	3	2	384	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:20:23	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/17465	690000	Alto Rio Preto	Mais que 400 mil	>=4	6	360	Sim	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:21:04	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/17564	1050000	Alto Rio Preto 	Mais que 400 mil	3	6	507	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:22:03	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Sobrado/Jardim-Alto-Rio-Preto/16868	1000000	Alto Rio Preto 	Mais que 400 mil	3	5	396	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:22:43	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/14488	1800000	Alto Rio Preto 	Mais que 400 mil	3	7	872	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:23:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/13892	500000	Alto Rio Preto 	Mais que 400 mil	2	1	484	Sim	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:24:25	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/4616	550000	Alto Rio Preto 	Mais que 400 mil	3	3	484	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:25:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/2346	1150000	Alto Rio Preto 	Mais que 400 mil	3	4	457	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 10:26:01	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/425	650000	Alto Rio Preto 	Mais que 400 mil	3	3	300	Sim	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 19:58:48	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Canaa/21067	650000	Jardim Canaa	Mais que 400 mil	3	3	271	Não	OESTE	Jardim Canaa, São José do Rio Preto	
6/29/2023 19:59:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Canaa/7727	400000	Jardim Canaa	350-400 mil	2	1	383	Sim	OESTE	Jardim Canaa, São José do Rio Preto	
6/29/2023 20:00:16	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Comercial/Casa-Comercial/Jardim-Canaa/336	650000	Jardim Canaa	Mais que 400 mil	>=4	3	528	Não	OESTE	Jardim Canaa, São José do Rio Preto	
6/29/2023 20:01:15	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Congonhas/24312	700000	Jardim Congonhas	Mais que 400 mil	3	2	360	Não	OESTE	Jardim Congonhas, São José do Rio Preto	
6/29/2023 20:01:50	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Congonhas/21878	280000	Jardim Congonhas	250-300 mil	2	1	150	Não	OESTE	Jardim Congonhas, São José do Rio Preto	
6/29/2023 20:02:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Congonhas/19707	590000	Jardim Congonhas	Mais que 400 mil	3	3	350	Não	OESTE	Jardim Congonhas, São José do Rio Preto	
6/29/2023 20:03:25	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Congonhas/11664	336000	Jardim Congonhas	300-350 mil	3	2	300	Não	OESTE	Jardim Congonhas, São José do Rio Preto	
6/29/2023 20:04:05	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Congonhas/2527	1100000	Jardim Congonhas	Mais que 400 mil	>=4	6	520	Não	OESTE	Jardim Congonhas, São José do Rio Preto	
6/29/2023 20:05:21	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Congonhas/1820	420000	Jardim Congonhas	Mais que 400 mil	3	3	290	Não	OESTE	Jardim Congonhas, São José do Rio Preto	
6/29/2023 20:05:54	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Congonhas/1897	600000	Jardim Congonhas	Mais que 400 mil	3	3	281	Não	OESTE	Jardim Congonhas, São José do Rio Preto	
6/29/2023 20:06:50	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Herculano/16793	350000	Jardim Herculano	350-400 mil	>=4	3	360	Sim	OESTE	Jardim Herculano, São José do Rio Preto	
6/29/2023 20:07:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Herculano/20147	550000	Jardim Herculano	Mais que 400 mil	3	2	360	Sim	OESTE	Jardim Herculano, São José do Rio Preto	
