CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	ccccc	São José do Rio Preto
6/19/2023 21:12:35	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/6127	607000	Jardim Tarraf Ii			Mais que 400 mil	>=4	3	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:13:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/5871	850000	Jardim Tarraf Ii			Mais que 400 mil	3	4	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:13:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/1386	1150000	Jardim Tarraf Ii			Mais que 400 mil	3	3	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:16:56	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/21296	600000	Sao Francisco			Mais que 400 mil	3	3	360,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:17:30	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/19787	270000	Sao Francisco			250-300 mil	3	2	217,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:18:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/19655	360000	Sao Francisco			350-400 mil	3	1	360,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:18:51	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/19633	220000	Sao Francisco			Até 250 mil	2	1	180,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:19:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/17656	520000	Sao Francisco			Mais que 400 mil	3	3	200,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:20:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/17202	480000	Sao Francisco			Mais que 400 mil	>=4	4	372,0	Sim	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:21:23	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/14828	250000	Sao Francisco			250-300 mil	2	1	180,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:22:05	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/5939	460000	Sao Francisco				3	4	224,0	Sim	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:22:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/1884	580000	Sao Francisco			Mais que 400 mil	3	3	414,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:23:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/1413	860000	Sao Francisco			Mais que 400 mil	3	4	360,0	Não	SUL	Sao Francisco, São José do Rio Preto	
6/19/2023 21:24:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Sao-Francisco/1045	380000	Sao Francisco			350-400 mil	3	4	360,0	Sim	SUL	Sao Francisco, São José do Rio Preto	
