CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	Boa Vista, São José do Rio Preto	São José do Rio Preto
6/25/2023 11:29:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/12822	185000	Boa Vista			Até 250 mil	3	1	242	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:29:35	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/12588	600000	Boa Vista			Mais que 400 mil	2	3	324	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:30:20	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/12309	1280000	Boa Vista			Mais que 400 mil	3	5	556	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:31:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/8594	220000	Boa Vista			Até 250 mil	2	1	206	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:31:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/6886	600000	Boa Vista			Mais que 400 mil	3	3	484	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:32:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/6038	290000	Boa Vista			250-300 mil	3	2	260	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:32:48	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/3506	1000000	Boa Vista			Mais que 400 mil	3	3	484	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:33:43	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/2970	623000	Boa Vista			Mais que 400 mil	3	5	242	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:34:12	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/2372	850000	Boa Vista			Mais que 400 mil	>=4	1	500	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:34:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/2320	1200000	Boa Vista			Mais que 400 mil	3	7	600	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:35:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1637	550000	Boa Vista			Mais que 400 mil	>=4	4	528	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:36:20	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1178	900000	Boa Vista			Mais que 400 mil	3	6	480	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:36:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1126	330000	Boa Vista			300-350 mil	3	3	363	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:37:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/1102	500000	Boa Vista			Mais que 400 mil	3	3	242	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:38:06	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/997	420000	Boa Vista			Mais que 400 mil	3	3	242	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:39:04	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/24275	435000	Parque Industrial			Mais que 400 mil	3	3	242	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:39:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/23942	480000	Parque Industrial			Mais que 400 mil	3	4	343	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:40:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/22705	300000	Parque Industrial			250-300 mil	3	3	242	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:41:20	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21888	400000	Parque Industrial			350-400 mil	>=4	4	337	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:41:59	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21409	420000	Parque Industrial			Mais que 400 mil	2	2	242	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:42:30	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21249	380000	Parque Industrial			350-400 mil	3	2	242	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:43:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21218	450000	Parque Industrial			Mais que 400 mil	>=4	3	250	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:43:50	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/20548	550000	Parque Industrial			Mais que 400 mil	3	2	484	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:44:20	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/20507	420000	Parque Industrial				>=4	6	317	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:45:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/20482	370000	Parque Industrial			350-400 mil	>=4	6	320	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:45:42	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/19930	430000	Parque Industrial			Mais que 400 mil	3	2	242	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:46:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/18463	495000	Parque Industrial			Mais que 400 mil	3	2	252	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:47:06	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17525	900000	Parque Industrial			Mais que 400 mil	>=4	5	468	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:47:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17507	660000	Parque Industrial			Mais que 400 mil	3	4	363	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:48:21	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17424	230000	Parque Industrial			Até 250 mil	>=4	2	242	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
