CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	bbbb	São José Do Rio Preto
6/24/2023 12:25:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Alegre/13439	650000	Jardim Alto Alegre			Mais que 400 mil	>=4	4	450,0	Sim	LESTE	Jardim Alto Alegre, São José Do Rio Preto	
6/24/2023 12:26:12	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-America/22936	350000	Jardim América			350-400 mil	>=4	3	253,0	Não	LESTE	Jardim América, São José Do Rio Preto	
6/24/2023 12:26:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-America/18166	450000	Jardim América			Mais que 400 mil	2	2	330,0	Não	LESTE	Jardim América, São José Do Rio Preto	
6/24/2023 12:28:06	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Caparroz/12801	290000	Jardim Caparroz			250-300 mil	3	2	180,0	Não	LESTE	Jardim Caparroz, São José Do Rio Preto	
6/24/2023 12:28:51	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Caparroz/7113	280000	Jardim Caparroz			250-300 mil	2	2	180,0	Não	LESTE	Jardim Caparroz, São José Do Rio Preto	
6/24/2023 12:29:47	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Caparroz/1161	370000	Jardim Caparroz			350-400 mil	2	2	432,0	Sim	LESTE	Jardim Caparroz, São José Do Rio Preto	
6/24/2023 12:30:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Caparroz/20920	350000	Jardim Caparroz			350-400 mil	3	2	209,0	Não	LESTE	Jardim Caparroz, São José Do Rio Preto	
6/24/2023 12:31:20	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Castelinho/19802	450000	Jardim Castelinho			Mais que 400 mil	2	3	250,0	Não	LESTE	Jardim Castelinho, São José Do Rio Preto	
6/24/2023 12:32:04	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Castelinho/17610	320000	Jardim Castelinho			300-350 mil	3	2	221,0	Não	LESTE	Jardim Castelinho, São José Do Rio Preto	
6/24/2023 12:32:56	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-do-Bosque/21415	290000	Jardim Do Bosque			250-300 mil	3	1	220,0	Não	LESTE	Jardim Do Bosque, São José Do Rio Preto	
6/24/2023 12:33:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-do-Bosque/21630	330000	Jardim Do Bosque			300-350 mil	2	2	250,0	Não	LESTE	Jardim Do Bosque, São José Do Rio Preto	
6/24/2023 12:34:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-dos-Seixas/17062	700000	Jardim Dos Seixas			Mais que 400 mil	>=4	4	396,0	Não	LESTE	Jardim Dos Seixas, São José Do Rio Preto	
6/24/2023 12:35:15	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-dos-Seixas/23366	600000	Jardim Dos Seixas			Mais que 400 mil	>=4	4	390,0	Não	LESTE	Jardim Dos Seixas, São José Do Rio Preto	
6/24/2023 12:36:13	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-dos-Seixas/1529	830000	Jardim Dos Seixas			Mais que 400 mil	3	4	468,0	Não	LESTE	Jardim Dos Seixas, São José Do Rio Preto	
6/24/2023 12:36:49	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-dos-Seixas/1489	1100000	Jardim Dos Seixas			Mais que 400 mil	3	5	312,0	Não	LESTE	Jardim Dos Seixas, São José Do Rio Preto	
6/24/2023 12:38:42	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Estrela/22802	530000	Jardim Estrela			Mais que 400 mil	3	4	391,0	Sim	LESTE	Jardim Estrela, São José Do Rio Preto	
