CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	dddd	São José do Rio Preto
6/20/2023 18:55:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/22266	380000	Nato Vetorasso			350-400 mil	3	3	293,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:56:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/21767	399000	Nato Vetorasso			350-400 mil	2	3	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:57:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/21578	430000	Nato Vetorasso			Mais que 400 mil	3	3	288,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:57:58	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/19440	315000	Nato Vetorasso			300-350 mil	3	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:58:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/21549	390000	Nato Vetorasso			350-400 mil	3	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:59:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/19069	325000	Nato Vetorasso			300-350 mil	2	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 19:00:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/14297	390000	Nato Vetorasso			350-400 mil	3	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 19:00:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/3446	400000	Nato Vetorasso			350-400 mil	3	3	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 19:02:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Morada-do-Sol/20613	310000	Morada do Sol			300-350 mil	3	2	200,0	Não	NORTE	Morada do Sol, São José do Rio Preto	
6/20/2023 19:02:54	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Morada-do-Sol/20586	375000	Morada do Sol			350-400 mil	3	3	200,0	Não	NORTE	Morada do Sol, São José do Rio Preto	
6/20/2023 19:03:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Morada-do-Sol/13777	350000	Morada do Sol			300-350 mil	3	2	330,0	Não	NORTE	Morada do Sol, São José do Rio Preto	
6/20/2023 19:04:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Solo-Sagrado/21483	190000	Solo Sagrado			Até 250 mil	3	2	200,0	Sim	NORTE	Solo Sagrado, São José do Rio Preto	
6/20/2023 19:05:38	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Solo-Sagrado/5180	250000	Solo Sagrado			Até 250 mil	3	2	200,0	Não	NORTE	Solo Sagrado, São José do Rio Preto	
6/20/2023 19:06:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Solo-Sagrado/7396	240000	Solo Sagrado			Até 250 mil	>=4	2	200,0	Não	NORTE	Solo Sagrado, São José do Rio Preto	
6/20/2023 19:08:36	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Gabriela/17276	250000	Residencial Gabriela			Até 250 mil	3	3	200,0	Não	NORTE	Residencial Gabriela, São José do Rio Preto	
6/20/2023 19:09:36	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Gabriela/1240	260000	Residencial Gabriela			250-300 mil	3	3	200,0	Não	NORTE	Residencial Gabriela, São José do Rio Preto	
6/20/2023 19:10:51	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Gabriela/1427	330000	Residencial Gabriela			300-350 mil	3	2	200,0	Não	NORTE	Residencial Gabriela, São José do Rio Preto	
6/20/2023 19:12:14	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-Dom-Lafayete-Libanio/22902	425000	Dom Lafayete			Mais que 400 mil	3	2	162,0	Não	NORTE	Dom Lafayete, São José do Rio Preto	
6/20/2023 19:12:52	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-Dom-Lafayete-Libanio/19864	370000	Dom Lafayete			350-400 mil	>=4	5	180,0	Não	NORTE	Dom Lafayete, São José do Rio Preto	
6/20/2023 19:14:21	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-Dom-Lafayete-Libanio/18413	249900	Dom Lafayete			Até 250 mil	3	2	210,0	Não	NORTE	Dom Lafayete, São José do Rio Preto	
6/20/2023 19:15:58	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-Dom-Lafayete-Libanio/12605	450000	Dom Lafayete			Mais que 400 mil	3	2	360,0	Sim	NORTE	Dom Lafayete, São José do Rio Preto	
6/20/2023 19:16:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-Dom-Lafayete-Libanio/21157	350000	Dom Lafayete			350-400 mil	3	2	121,0	Não	NORTE	Dom Lafayete, São José do Rio Preto	
6/20/2023 19:18:01	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-das-Aroeiras/20362	360000	Parque das Aroeiras			350-400 mil	3	3	200,0	Não	NORTE	Parque das Aroeiras, São José do Rio Preto	
6/20/2023 19:18:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-das-Aroeiras/16626	270000	Parque das Aroeiras			250-300 mil	3	2	200,0	Não	NORTE	Parque das Aroeiras, São José do Rio Preto	
6/20/2023 19:19:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-das-Aroeiras/16625	300000	Parque das Aroeiras			300-350 mil	3	2	200,0	Não	NORTE	Parque das Aroeiras, São José do Rio Preto	
6/20/2023 19:20:10	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-das-Aroeiras/11962	380000	Parque das Aroeiras			350-400 mil	3	2	251,0	Sim	NORTE	Parque das Aroeiras, São José do Rio Preto	
6/20/2023 19:20:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-das-Aroeiras/1768	250000	Parque das Aroeiras			250-300 mil	3	2	200,0	Não	NORTE	Parque das Aroeiras, São José do Rio Preto	
6/22/2023 11:26:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Antunes/24111	280000	Jardim Antunes			250-300 mil	3	2	200,0	Não	NORTE	Jardim Antunes, São José do Rio Preto	
6/22/2023 11:27:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Asturias/21226	320000	Jardim Asturias			300-350 mil	3	2	200,0	Não	NORTE	Jardim Asturias, São José do Rio Preto	
6/22/2023 11:28:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Asturias/19158	240000	Jardim Asturias			Até 250 mil	>=4	3	200,0	Não	NORTE	Jardim Asturias, São José do Rio Preto	
6/22/2023 11:29:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Asturias/17011	430000	Jardim Asturias			Mais que 400 mil	3	3	200,0	Não	NORTE	Jardim Asturias, São José do Rio Preto	
6/22/2023 11:31:01	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Caetano-II/20809	235000	Jardim Caetano 2			Até 250 mil	3	2	200,0	Não	NORTE	Jardim Caetano 2, São José do Rio Preto	
6/22/2023 11:31:36	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Caetano-II/16838	270000	Jardim Caetano 2			250-300 mil	3	2	207,0	Não	NORTE	Jardim Caetano 2, São José do Rio Preto	
6/22/2023 11:32:24	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-das-Oliveiras/21881	300000	Jardim das Oliveiras			300-350 mil	3	2	250,0	Não	NORTE	Jardim das Oliveiras, São José do Rio Preto	
6/22/2023 11:33:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-das-Oliveiras/23610	250000	Jardim das Oliveiras			250-300 mil	2	2	200,0	Não	NORTE	Jardim das Oliveiras, São José do Rio Preto	
